,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
213,"FOUGHT, SHARON",NA,NA,NA,NA,NA
214,"BURDEN, SAMUEL",NA,NA,NA,NA,NA
215,"SUAREZ, DAVID",NA,NA,NA,NA,NA
216,"KLAVINS, ERIC",3544,33,18,51,28
217,"INGALLS, ANITRA",2866,26,22,35,33
218,"HOWARD, MAUREEN",NA,NA,NA,NA,NA
219,"MOORE, ADAM",967,17,13,18,14
220,"STETSON, DANIEL",5294,23,21,25,24
221,"SIMON, NOAH",NA,NA,NA,NA,NA
222,"LEE, ADRIAN",627,15,13,21,18
223,"ISTANBULLUOGLU, ERKAN",1529,24,21,31,30
224,"SIVADAS, EUGENE",4213,19,16,24,22
225,"GODFREY, EMILY",NA,NA,NA,NA,NA
226,"LAGESSE, BRENT",130,7,5,5,3
227,"OSANLOO, ARZOO",NA,NA,NA,NA,NA
228,"DEFOREST, COLE",2196,15,15,15,15
229,"BALASSONE, MARY",NA,NA,NA,NA,NA
230,"KIM, DEOK-HO",5971,39,34,86,74
231,"TAN, XU",336,6,5,3,3
232,"PASUPATHY, ANITHA",2749,15,13,16,15
233,"HEATH, RACHEL",322,5,5,4,4
234,"HUANG, SHUAI",560,10,10,10,10
235,"KEMELMAHER, IRENA",NA,NA,NA,NA,NA
236,"LIU, SHAN",401,6,6,6,6
237,"ROTHVOSS, THOMAS",1384,20,18,34,26
238,"MOSKAL, LUDMILA",NA,NA,NA,NA,NA
239,"BERMAN, JEFFREY",1446,18,16,35,28
240,"CHREPA, VARVARA",NA,NA,NA,NA,NA
241,"SOLOMON, EVAN",NA,NA,NA,NA,NA
242,"BEJAN, CAMELIA",111,6,4,2,2
243,"HAWKINS, RAYMOND",NA,NA,NA,NA,NA
244,"KESKIN, TAYFUN",NA,NA,NA,NA,NA
245,"SATHE, VISVESH",743,15,11,19,13
246,"FOWLER, DOUGLAS",3469,17,17,23,21
247,"MISSALL, KRISTEN",NA,NA,NA,NA,NA
248,"ZHANG, BO",2756,25,25,39,37
249,"KING, KEVIN",2778,26,24,40,40
250,"SHORES, DONNA",NA,NA,NA,NA,NA
251,"KEISTER, JULIE",NA,NA,NA,NA,NA
252,"BARRETO, PAULO",6742,30,22,55,42
253,"MAJUMDAR, ARKA",2271,25,23,43,42
254,"RABOTYAGOV, SERGEY",525,13,12,15,14
255,"SCHMIDT, DAVID",NA,NA,NA,NA,NA
256,"OLSON, KRISTINA",2821,27,26,41,39
257,"YANG, JINKYU",1313,19,18,31,28
258,"CARONE, MARCO",839,16,14,20,20
259,"KENNEY, NANCY",1151,16,6,21,3
260,"KOVALESKY, ANDREA",NA,NA,NA,NA,NA
261,"LEDERER, JOHANNES",NA,NA,NA,NA,NA
262,"HARRIS, ALEXES",NA,NA,NA,NA,NA
263,"LEUKHINA, OKSANA",210,7,7,5,5
264,"PRAT, CHANTEL",1338,19,17,22,19
265,"SPIRO, EMMA",560,14,14,15,15
266,"STEVENS, CHRISTINE",NA,NA,NA,NA,NA
267,"TRAPNELL, BRUCE",NA,NA,NA,NA,NA
268,"KUNZE, KENT",NA,NA,NA,NA,NA
269,"JONES, JANINE",822,9,8,8,7
270,"WEI, XIAHUA",NA,NA,NA,NA,NA
271,"HOSSEIN ABADI, SHIMA",NA,NA,NA,NA,NA
272,"SUESS, BECKY",NA,NA,NA,NA,NA
273,"GRANT, STEPHANIE",NA,NA,NA,NA,NA
274,"THAMILARASU, GEETHAPRIYA",273,9,8,8,5
275,"BLINOV, BORIS",NA,NA,NA,NA,NA
276,"HOLMBERG, VINCENT",867,15,14,16,15
277,"ROESLER, AXEL",NA,NA,NA,NA,NA
278,"STEELE, KATHERINE",783,13,13,14,14
279,"MEEK, CHRISTOPHER",NA,NA,NA,NA,NA
280,"HAZLET, THOMAS",NA,NA,NA,NA,NA
281,"BRUNTON, STEVEN",1820,22,22,36,35
282,"BUSTILLOS, DANIEL",NA,NA,NA,NA,NA
283,"KALIKOFF, BETH",NA,NA,NA,NA,NA
284,"THOMPSON, TRACY",1813,13,10,14,10
285,"NARANG, ANSHU",82,5,4,2,2
286,"MERZ, ALEXEY",NA,NA,NA,NA,NA
287,"YIP, JASON",418,12,11,14,13
288,"ARAGON, CECILIA",5678,30,27,50,41
289,"KRAMER, PATRICIA",NA,NA,NA,NA,NA
290,"ROSNER, DANIELA",1446,19,19,32,32
291,"DAHYA, NEGIN",70,4,4,3,3
292,"CHATTERJEE, JOYDEEP",NA,NA,NA,NA,NA
293,"BRECKWICH, VICTORIA",640,10,9,10,8
294,"FINN, MEGAN",NA,NA,NA,NA,NA
295,"ISOHERRANEN, NINA",3534,36,26,74,65
296,"ARMOUR, KYLE",913,16,16,17,17
297,"DEHAAN, EDUARD",NA,NA,NA,NA,NA
298,"NANCE, ELIZABETH",908,13,12,15,14
299,"BARRIA-ROMAN, ANDRES",NA,NA,NA,NA,NA
300,"COOKE, CHERYL",NA,NA,NA,NA,NA
301,"SANTANA MATA, SHARLENE",NA,NA,NA,NA,NA
302,"MAIBAUM, LUTZ",NA,NA,NA,NA,NA
303,"MAO, QINGCHENG",NA,NA,NA,NA,NA
304,"DUPUIS, MARC",65,3,3,1,1
305,"LOTT, JOE",NA,NA,NA,NA,NA
306,"WALSH, WALTER",NA,NA,NA,NA,NA
307,"ADLER, STUART",6370,22,18,37,25
308,"ANGOTTI, ROBIN",252,10,8,11,4
309,"COLLINS, PAUL",NA,NA,NA,NA,NA
310,"GAVIN, AMELIA",NA,NA,NA,NA,NA
311,"WANG, LIGUO",NA,NA,NA,NA,NA
312,"BRANCH, TREVOR",6267,36,32,70,59
313,"ROMICH, JENNIFER",920,15,9,18,9
314,"STUBER, JENNIFER",NA,NA,NA,NA,NA
315,"SALATHE, ERIC",4227,37,25,69,43
316,"VOGT, DANIEL",NA,NA,NA,NA,NA
317,"GAGNON, ALEXANDER",759,15,15,16,16
318,"HORWITZ, GREGORY",1617,18,15,24,19
319,"LI, YING",774,14,14,15,15
320,"SCHLENKER, CODY",2576,20,20,24,22
321,"WEBSTER, JOHN",NA,NA,NA,NA,NA
322,"YOON, WOON",749,16,12,24,16
323,"ARAVKIN, ALEKSANDR",1267,19,17,38,33
324,"MORRIS, ROBERT",2642,18,17,18,18
325,"ROLAND SAENGER, EMILY",NA,NA,NA,NA,NA
326,"SWANN, ABIGAIL",446,9,8,8,7
327,"FRYBERG, STEPHANIE",2552,22,20,26,25
328,"LUSCOMBE, CHRISTINE",4476,33,29,57,54
329,"GHIRMAI, TADESSE",NA,NA,NA,NA,NA
330,"HENDRY, DAVID",936,18,12,28,13
331,"ADOLPH, CHRISTOPHER",791,11,9,12,8
332,"GREENGROVE, CHERYL",NA,NA,NA,NA,NA
333,"GIRE, DAVID",581,9,9,9,9
334,"BOECHLER, NICHOLAS",NA,NA,NA,NA,NA
335,"YOUNG, DIANE",NA,NA,NA,NA,NA
336,"LAWLER, JOSHUA",7479,42,36,76,68
337,"TOTAH, RHEEM",NA,NA,NA,NA,NA
338,"SALK, JENNIFER",NA,NA,NA,NA,NA
339,"STONE, JOHN",NA,NA,NA,NA,NA
