,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
710,"MCMURTRIE, JACQUELINE",NA,NA,NA,NA,NA
711,"MATSUEDA, ROSS",5414,25,23,35,30
712,"SHEN, QING",2919,28,21,41,33
713,"SHIELDS, DAVID",NA,NA,NA,NA,NA
714,"HOU, JEFFREY",746,10,10,11,10
715,"HERRENKOHL, LESLIE",NA,NA,NA,NA,NA
716,"BOOTH-LAFORCE, CATHRYN",NA,NA,NA,NA,NA
717,"SPYRIDAKIS, JAN",NA,NA,NA,NA,NA
718,"GANTER, MARK",NA,NA,NA,NA,NA
719,"HILLE RIS LAMBERS, JANNEKE",6567,32,30,44,44
720,"QUAY, PAUL",NA,NA,NA,NA,NA
721,"TENENBERG, JOSH",2373,25,12,37,18
722,"CHEN, SSU-KUANG",NA,NA,NA,NA,NA
723,"HAUCK, SCOTT",10912,45,23,101,48
724,"PORTIN, BRADLEY",NA,NA,NA,NA,NA
725,"KLAWITTER, MARIEKA",956,15,7,21,5
726,"SIMPSON, CHRISTOPHER",3346,25,18,48,39
727,"OZUBKO, CHRISTOPHER",NA,NA,NA,NA,NA
728,"KNOPP, LAWRENCE",NA,NA,NA,NA,NA
729,"SHAFFER, PETER",NA,NA,NA,NA,NA
730,"CHEN, ZHEN-QING",4960,37,26,107,77
731,"BASSINGTHWAIGHTE, JAMES",NA,NA,NA,NA,NA
732,"ROSENTHAL, MICHAEL",NA,NA,NA,NA,NA
733,"QIAN, HONG",NA,NA,NA,NA,NA
734,"BERG, CELESTE",NA,NA,NA,NA,NA
735,"DUNHAM, SCOTT",2053,24,12,55,16
736,"WINDSCHITL, MARK",NA,NA,NA,NA,NA
737,"DUNCAN, BETTINA",NA,NA,NA,NA,NA
738,"KARCH, ANDREAS",9914,51,33,99,69
739,"CHUNG, KWOK-HUNG",NA,NA,NA,NA,NA
740,"XIA, FEI",4004,30,24,91,58
741,"LEIREN, TERJE",NA,NA,NA,NA,NA
742,"CHERNIAVSKY, EVA",NA,NA,NA,NA,NA
743,"FURMAN, RICHARD",NA,NA,NA,NA,NA
744,"FLORES, LAURO",NA,NA,NA,NA,NA
745,"SEBENS, KENNETH",NA,NA,NA,NA,NA
746,"TALBOTT, WILLIAM",598,9,5,8,5
747,"BENIRSCHKE, STEPHEN",NA,NA,NA,NA,NA
748,"DUCHAMP, THOMAS",NA,NA,NA,NA,NA
749,"WELLMAN, JAMES",NA,NA,NA,NA,NA
750,"WERNER, LYNNE",NA,NA,NA,NA,NA
751,"FINE, IONE",NA,NA,NA,NA,NA
752,"RAFTERY, ANA",NA,NA,NA,NA,NA
753,"WATTS, GORDON",NA,NA,NA,NA,NA
754,"PALMIERI, JOHN",939,14,10,17,10
755,"BROWN, MICHAEL",4694,35,15,61,26
756,"BUBE, KENNETH",NA,NA,NA,NA,NA
757,"YUAN, YU",NA,NA,NA,NA,NA
758,"AMMIRATI, JOSEPH",NA,NA,NA,NA,NA
759,"DEN NIJS, MARCEL",NA,NA,NA,NA,NA
760,"HOL, WILHELMUS",NA,NA,NA,NA,NA
761,"LE RESCHE, LINDA",NA,NA,NA,NA,NA
762,"RUTHERFORD, G",NA,NA,NA,NA,NA
763,"DONG, YUE",NA,NA,NA,NA,NA
764,"FELAK, JAMES",NA,NA,NA,NA,NA
765,"KUGA, YASUO",NA,NA,NA,NA,NA
766,"LOUIE, BELINDA",NA,NA,NA,NA,NA
