,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
2087,"DAVIS, NATHAN",NA,NA,NA,NA,NA
2088,"DE ALMEIDA, CRISTINA",NA,NA,NA,NA,NA
2089,"DE LA PAZ, OLIVER",NA,NA,NA,NA,NA
2090,"DE LA PAZ, OLIVER",NA,NA,NA,NA,NA
2091,"DEBARI, SUSAN",1476,17,11,19,14
2092,"DEBARI, SUSAN",1476,17,11,19,14
2093,"DECHAINE, ERIC",NA,NA,NA,NA,NA
2094,"DECHAINE-BERKAS, JENNIFER",NA,NA,NA,NA,NA
2095,"DECKER, KEVIN",NA,NA,NA,NA,NA
2096,"DEGUCHI, MASANORI",NA,NA,NA,NA,NA
2097,"DEGUCHI, MASANORI",NA,NA,NA,NA,NA
2098,"DELISLE, RONALD",NA,NA,NA,NA,NA
2099,"DEMERS, DAVID",NA,NA,NA,NA,NA
2100,"DENHAM, KRISTIN",NA,NA,NA,NA,NA
2101,"DENNETT, NOLAN",NA,NA,NA,NA,NA
2102,"DENTON, TRAVIS",NA,NA,NA,NA,NA
2103,"DEPRANO, MARIA",NA,NA,NA,NA,NA
2104,"DEPTULA, BRYAN",NA,NA,NA,NA,NA
2105,"DESTA, KEFYALEW",NA,NA,NA,NA,NA
2106,"DEVENPORT, JENNIFER",NA,NA,NA,NA,NA
2107,"DEYLAMI, SHIRIN",NA,NA,NA,NA,NA
2108,"DEYLAMI, SHIRIN",NA,NA,NA,NA,NA
2109,"DIEHL, PETER",NA,NA,NA,NA,NA
2110,"DIETRICH, DAWN",NA,NA,NA,NA,NA
2111,"DIMARCO, ARTHUR",NA,NA,NA,NA,NA
2112,"DINNEL, DALE",NA,NA,NA,NA,NA
2113,"DITTMER, TIMOTHY",NA,NA,NA,NA,NA
2114,"DJATEJ, ARSEN",NA,NA,NA,NA,NA
2115,"DOLAR, BURAK",NA,NA,NA,NA,NA
2116,"DOLAR, BURAK",NA,NA,NA,NA,NA
2117,"DONAHUE, BARRY",NA,NA,NA,NA,NA
2118,"DONDJI, BLAISE",NA,NA,NA,NA,NA
2119,"DONG, YAN",NA,NA,NA,NA,NA
2120,"DONNELLAN, GRANT",NA,NA,NA,NA,NA
2121,"DONNELLAN, GRANT",NA,NA,NA,NA,NA
2122,"DONNERBERG, JEFFREY",NA,NA,NA,NA,NA
2123,"DONOVAN, DEBORAH",NA,NA,NA,NA,NA
2124,"DONOVAN, TODD",6458,40,26,88,50
2125,"DORMADY, JASON",NA,NA,NA,NA,NA
2126,"DOUGLAS, KENDRA",NA,NA,NA,NA,NA
2127,"DOWD, DUANE",NA,NA,NA,NA,NA
2128,"DOWD, DUANE",NA,NA,NA,NA,NA
2129,"DOWD, JOE",NA,NA,NA,NA,NA
2130,"DOZIER, LORRAINE",NA,NA,NA,NA,NA
2131,"DOZIER, LORRAINE",NA,NA,NA,NA,NA
2132,"DRAKE, GEORGE",NA,NA,NA,NA,NA
2133,"DRZEWIECKA, JOLANTA",530,12,8,13,7
2134,"DU ROCHER SCHUDLICH, TINA",NA,NA,NA,NA,NA
