,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
2431,"JACKSON, MICHAEL",NA,NA,NA,NA,NA
2432,"JACKSON, MICHAEL",NA,NA,NA,NA,NA
2433,"JACKSON, SARAH",NA,NA,NA,NA,NA
2434,"JACKSON, STEVE",NA,NA,NA,NA,NA
2435,"JAFFEE, DANIEL",NA,NA,NA,NA,NA
2436,"JAGODZINSKI, FILIP",NA,NA,NA,NA,NA
2437,"JAGODZINSKI, FILIP",NA,NA,NA,NA,NA
2438,"JAIN, PARUL",NA,NA,NA,NA,NA
2439,"JAMES, LAURIE",NA,NA,NA,NA,NA
2440,"JANSEN, GOLIEDA",NA,NA,NA,NA,NA
2441,"JANSON, CAROL",NA,NA,NA,NA,NA
2442,"JANTZEN, KELLY",NA,NA,NA,NA,NA
2443,"JANTZEN, KELLY",NA,NA,NA,NA,NA
2444,"JANTZEN, MCNEEL",NA,NA,NA,NA,NA
2445,"JARAMILLO, ANDRES",NA,NA,NA,NA,NA
