,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
210,"CELLI, JEAN",NA,NA,NA,NA,NA
211,"YANG, BIN",5544,30,28,49,47
212,"WEBER, TODD",3036,13,12,13,13
213,"MANDAL, BIDISHA",472,9,9,8,8
214,"ZACK, RICHARD",NA,NA,NA,NA,NA
215,"BAYAZIT, OZDEN",NA,NA,NA,NA,NA
216,"WHITING, MATTHEW",NA,NA,NA,NA,NA
217,"EAGLE, DAVID",NA,NA,NA,NA,NA
218,"RODGERS, BUEL",2207,25,18,37,26
219,"WATTS, RICHARD",NA,NA,NA,NA,NA
220,"FICKLIN, STEPHEN",1481,16,15,21,19
221,"SCHIAVENATO, MARTIN",410,6,5,5,3
222,"DOLAN, JAMES",NA,NA,NA,NA,NA
223,"INOUE, ATSUSHI",385,10,5,11,2
224,"MCTIER, BRIAN",NA,NA,NA,NA,NA
225,"MUNOZ-GARCIA, FELIX",128,6,6,2,2
226,"TENERELLI, THOMAS",NA,NA,NA,NA,NA
227,"MURRAY, TIMOTHY",NA,NA,NA,NA,NA
228,"NEUMILLER, JOSHUA",NA,NA,NA,NA,NA
229,"MONTGOMERY, AARON",NA,NA,NA,NA,NA
230,"SKAER, TRACY",2906,29,13,65,18
231,"KALYANARAMAN, ANANTHARAMAN",NA,NA,NA,NA,NA
232,"BLATNER, KEITH",1418,21,11,38,13
233,"HUNDHAUSEN, CHRISTOPHER",2741,25,17,45,27
234,"NEIBERGS, HOLLY",NA,NA,NA,NA,NA
235,"JOHNSON, DENNIS",NA,NA,NA,NA,NA
236,"PARISH, STEVEN",NA,NA,NA,NA,NA
237,"HOEKSEL, RENEE",NA,NA,NA,NA,NA
238,"DUBEY, ANAMIKA",198,8,7,8,7
239,"KMEC, JULIE",1469,17,14,18,16
240,"SAUNDERS, PETER",NA,NA,NA,NA,NA
241,"AGUILAR-CARRENO, HECTOR",NA,NA,NA,NA,NA
242,"CHAYTOR, NAOMI",1491,15,14,17,16
243,"JIANG, ZHIHUA",NA,NA,NA,NA,NA
244,"NELSON, O",NA,NA,NA,NA,NA
245,"CHEN, CHU",NA,NA,NA,NA,NA
246,"DONG, LEI",NA,NA,NA,NA,NA
247,"HAHN, ADAM",1129,10,10,10,10
248,"PRU, JAMES",NA,NA,NA,NA,NA
249,"SHI, XIANMING",3621,34,30,82,72
250,"WAYMAN, SUZANNE",NA,NA,NA,NA,NA
251,"MARTINEZ, STEVEN",NA,NA,NA,NA,NA
252,"REILLY, PETER",1755,24,12,41,15
253,"XIAN, MING",5951,40,29,94,77
254,"LINHART, JEAN",NA,NA,NA,NA,NA
255,"SCHIMPF, PAUL",NA,NA,NA,NA,NA
256,"CHEN, MING-HSIANG",1962,17,15,28,25
257,"LIU, HEPING",3093,26,19,48,36
258,"LONBORG, SUSAN",NA,NA,NA,NA,NA
259,"LEI, HANWU",2341,27,25,55,51
260,"DARATHA, KENN",NA,NA,NA,NA,NA
261,"BARRINGTON, GEORGE",NA,NA,NA,NA,NA
262,"CHAI, WEIHANG",1444,17,14,19,17
263,"FELSOT, ALLAN",2954,28,14,53,17
264,"LOHR, VIRGINIA",NA,NA,NA,NA,NA
265,"MCPHERSON, STERLING",637,14,13,22,22
266,"WARDROP, KATHERINE",NA,NA,NA,NA,NA
267,"MUKHERJEE, SAYANTANI",NA,NA,NA,NA,NA
268,"GALLARDO, ROSA",NA,NA,NA,NA,NA
269,"WILLIAMS, HENRY",NA,NA,NA,NA,NA
270,"JONES, VINCENT",NA,NA,NA,NA,NA
